index,Query,Engine,Original_Value,Simulacao_1,Simulacao_2,Simulacao_3,Simulacao_4,Simulacao_5,Simulacao_6,Simulacao_7,Simulacao_8,Simulacao_9,Desvio_Padrao,Media_Simulada
31,Q11,Spark,282.3,272.29332649970473,260.68622459464336,286.0919960484739,270.25357114612603,260.99366642234907,267.3576314934951,299.69973536526516,272.1345454578874,311.5381620681057,16.634254344842095,277.8943176773389
32,Q11,Spark_Cache,274.4,278.6112525828939,247.37430477088014,283.1472548615598,276.3907796463789,264.87216962091867,271.9538840820342,285.66252203090323,250.86639904107946,246.31071694124904,14.65937319360294,267.24325373087754
33,Q12,Hive,2470.81,2472.7848959971257,2599.207432907572,2467.3667184018923,2352.537955113284,2363.7062505334325,2547.8295357920997,2456.870049137487,2478.314389321899,2382.020918838244,77.82839611553266,2457.8486828936707
34,Q12,Spark,354.46,328.8413039562841,321.85008690558374,384.55203814500646,341.58108643374777,326.55146862383697,350.74822450890105,342.01875685474306,341.31654927810496,379.8042572191505,20.985566040903183,346.3626413250399
35,Q12,Spark_Cache,344.99,355.2721694456445,341.9953002271728,338.67848924598115,352.79697295314577,342.61714453774107,342.0820785688706,301.78930216213047,336.16887713520765,338.04543578455963,14.453343236280313,338.8273077844949
36,Q13,Hive,1295.19,1370.1249101474368,1429.446399282532,1248.4748293344935,1401.360391377245,1326.3268931992986,1413.045202134829,1201.334227254316,1294.695548851514,1279.8443448314465,74.87912410784983,1329.4058607125678
37,Q13,Spark,274.95,275.58986750900607,279.5898024500409,278.60431312569034,289.11781874365386,270.8392360487475,283.22463605900117,290.13688852198135,291.0433737515438,257.1098237309996,10.24798017579187,279.4728622156294
38,Q13,Spark_Cache,263.31,247.40297544164258,253.0638060679914,235.36098995395594,249.62950173128655,260.0118149865423,273.5001902811794,272.80851208879596,259.1873413051668,267.92309369492546,11.933379651295677,257.6542472834985
39,Q14,Hive,892.55,816.1703757161577,871.3738048877339,841.0613090646553,913.5415992316239,901.5258634158241,896.2055486189619,973.0014653854588,836.9691337770447,867.2268457226049,44.94318238072146,879.6751050911184
40,Q14,Spark,286.9,284.7033365399718,281.4563122000388,294.16606856305117,294.3488988877461,290.4361614743955,290.4302782036433,280.464890676934,280.64381370720923,297.4737255234534,6.182409605235922,288.23594286404926
41,Q14,Spark_Cache,258.68,260.0151451970754,256.9657598588393,251.9825189465349,235.413126891831,266.2788527729866,258.8397066800255,265.99410943181334,215.27099918075015,268.5388665368152,16.394092558745324,253.25545394407456
